Lines,Lon,VehicleNumber,Time,Lat,Brigade
156,21.044,1508,2024-01-25 13:14:32,52.2922681,2
117,21.0444068,1509,2024-01-25 11:17:42,52.26501,06
118,21.0243403,1513,2024-01-25 13:14:36,52.2421028,2
183,21.191786,1523,2024-01-25 13:14:32,52.238771,2
146,21.0503267,1524,2024-01-25 13:14:24,52.2377117,1
173,21.217595,1525,2024-01-25 13:14:31,52.2145517,1
146,21.115639,1526,2024-01-25 11:44:40,52.234299,08
183,21.115829,1527,2024-01-25 11:01:06,52.234756,5
117,21.1022033,1528,2024-01-25 13:14:32,52.2222333,5
115,21.160623,1530,2024-01-25 13:14:34,52.228065,3
139,21.0927583,1532,2024-01-25 13:14:31,52.10505,62
218,20.997768,1533,2024-01-25 13:14:32,52.183283,5
139,21.0240117,1534,2024-01-25 13:14:23,52.1796217,65
119,20.997888,1535,2024-01-25 10:53:45,52.186166,07
197,20.943095,1537,2024-01-25 13:14:22,52.239185,6
181,20.9790183,1538,2024-01-25 13:14:22,52.27813,3
122,20.8967983,1539,2024-01-25 13:14:24,52.2362133,7
170,21.0347667,1540,2024-01-25 13:14:19,52.2545067,3
338,21.091808,1541,2024-01-25 13:14:34,52.263955,02
123,21.0444967,1542,2024-01-25 13:14:28,52.2501483,4
122,20.9429117,1543,2024-01-25 13:14:22,52.2692117,4
173,21.13191,1546,2024-01-25 13:14:34,52.239168,8
338,21.0675817,1549,2024-01-25 13:14:35,52.2654767,03
122,20.9142383,1550,2024-01-25 13:14:34,52.2365883,5
N12,21.047421,1552,2024-01-25 13:14:26,52.264228,226
173,21.2222867,1553,2024-01-25 13:14:22,52.2178483,2
303,20.9002217,1554,2024-01-25 13:14:28,52.29741,3
338,21.04787,1555,2024-01-25 13:14:30,52.2647167,02
126,21.0117446,1800,2024-01-25 13:14:28,52.3166098,3
240,21.063522,1802,2024-01-25 13:14:32,52.3111838,1
118,21.015549,1803,2024-01-25 13:14:26,52.2203335,1
