odleglosc,ulica_id,nr_zespolu,typ,nr_przystanku,line
8290,1916,5098,2,02,N42
8578,1916,5099,2,02,N42
8923,1107,5100,2,02,N42
9424,0805,5030,2,01,N42
11677,0123,5004,2,01,N42
12199,0123,5003,2,01,N42
0,0805,5050,3,53,N42
935,1807,5034,2,03,N42
345,0805,5035,2,01,N42
1730,1807,5059,2,01,N42
1160,1807,5060,2,01,N42
2569,0305,5108,2,02,N42
2010,0305,5058,2,04,N42
3271,1303,5047,2,01,N42
2991,0305,5109,2,02,N42
4024,1303,5045,2,01,N42
3659,1303,5046,2,01,N42
4829,1806,5014,2,01,N42
4559,1806,5192,2,01,N42
5898,1806,5012,2,01,N42
5226,1806,5013,2,01,N42
6833,2502,5021,2,01,N42
6346,1806,5001,2,01,N42
7808,1916,5009,2,08,N42
7356,2502,5010,2,03,N42
13302,0123,7085,2,01,N42
12785,0123,5002,2,01,N42
16447,0101,7002,3,29,N42
15620,0101,7013,1,06,N42
14783,1503,7014,2,01,N42
14520,1503,7015,2,01,N42
13916,0002,7016,2,03,N42
10604,1611,1292,1,01,212
11024,0012,1005,1,07,212
11340,0012,1005,3,11,212
9069,2104,1142,1,01,212
9329,2104,1077,1,01,212
9739,1301,1076,2,01,212
10069,1301,1071,1,01,212
0,3556,1179,3,05,212
927,2104,1319,2,01,212
357,0812,1179,1,03,212
2198,0309,1147,1,03,212
1761,1214,1146,1,01,212
3054,1567,1216,2,02,212
2704,0309,1155,1,03,212
4144,0824,1151,2,01,212
3564,0824,1215,2,03,212
4914,1103,1177,2,01,212
4604,2026,1178,1,01,212
6005,2206,1056,1,03,212
5444,1909,1057,1,01,212
6838,0904,1139,1,03,212
6536,2308,1140,1,03,212
7769,1715,1137,1,01,212
7331,1529,1136,1,01,212
8748,2104,1143,1,01,212
8448,1250,1138,1,03,212
0,3556,1179,3,05,212
5792,2002,R-13,6,99,212
10238,0812,1319,2,02,212
10908,3556,1179,3,05,212
8541,0309,1155,1,02,212
8980,1214,1147,1,02,212
9455,1214,1146,1,02,212
9788,2104,1146,2,06,212
0,0012,1005,3,11,212
783,1611,1074,1,02,212
291,0012,1005,1,08,212
1773,2104,1077,1,02,212
1163,2001,1075,1,02,212
2453,1250,1143,1,04,212
2073,2104,1142,1,02,212
3225,1715,1137,1,02,212
2653,1715,1138,1,01,212
4305,2308,1139,1,02,212
3778,0904,1136,1,03,212
5221,1909,1056,1,02,212
4583,2206,1140,1,01,212
6221,1103,1177,2,02,212
5741,1103,1057,1,04,212
7111,0824,1151,2,02,212
6531,2026,1178,1,02,212
8151,0309,1216,2,04,212
7621,1567,1215,2,01,212
0,2002,R-13,6,00,212
1966,0012,1005,3,11,212
0,0012,1005,3,11,212
1923,2002,R-13,6,99,212
0,2002,R-13,6,00,212
5409,3556,1179,3,05,212
0,0128,2148,3,04,213
2972,1928,R-10,6,98,213
0,1706,R-10,6,00,213
3739,0128,2148,3,04,213
18156,1291,2385,2,01,213
21117,2302,2149,1,03,213
18436,2508,2206,1,02,213
21600,2302,2128,1,01,213
9213,1002,2178,2,01,213
9684,1002,2177,2,01,213
10068,1002,2043,1,05,213
10313,1835,2043,1,03,213
7545,1002,2182,2,01,213
8178,1002,2181,2,01,213
8544,1002,2180,2,01,213
8971,1002,2179,2,01,213
20492,0706,2313,1,02,213
20862,0706,2146,1,04,213
18816,2508,2249,2,02,213
19186,2508,2205,1,02,213
10588,1835,2175,2,01,213
11123,1560,2174,2,04,213
17336,1291,2387,2,01,213
17916,1291,2386,2,01,213
0,2508,2057,3,03,213
868,0218,2055,1,04,213
328,2508,2056,2,02,213
1420,0218,2452,2,02,213
1220,0218,2054,2,02,213
2318,0218,2052,1,02,213
1884,0218,2053,2,02,213
3058,2522,2048,1,04,213
2828,0218,2048,1,02,213
22520,0128,2148,3,04,213
16411,1291,2188,1,03,213
15701,1319,2264,2,01,213
3888,1717,2164,2,02,213
3498,0225,2165,2,02,213
5044,2522,2049,2,02,213
4338,1616,2162,2,02,213
5895,2215,2051,2,02,213
5533,2215,2050,2,02,213
6565,2617,2376,2,02,213
6265,2617,2377,2,02,213
7235,1002,2374,2,01,213
6895,1002,2375,2,02,213
12416,1560,2372,2,02,213
11653,1560,2373,2,02,213
15101,1319,2265,2,01,213
14711,1319,2037,1,03,213
14192,1560,2038,2,04,213
13555,1560,2039,1,10,213
13276,1560,2039,1,12,213
12796,1560,2371,2,02,213
22020,0128,2148,1,05,213
0,2508,2057,3,03,213
868,0218,2055,1,04,213
328,2508,2056,2,02,213
1420,0218,2452,2,02,213
1220,0218,2054,2,02,213
2318,0218,2052,1,02,213
1884,0218,2053,2,02,213
2828,0218,2048,4,02,213
0,0218,2048,4,02,213
10858,1706,R-10,6,99,213
0,1928,R-10,6,90,213
12698,2508,2057,3,03,213
18380,0225,2165,2,01,213
20686,0218,2054,2,01,213
18590,0225,2160,1,01,213
21161,2508,2055,1,01,213
11737,1002,2043,1,06,213
12038,1002,2177,2,02,213
12506,1002,2178,2,02,213
12857,1002,2179,2,02,213
10245,1560,2373,2,01,213
10866,1835,2174,2,02,213
11305,1835,2175,2,02,213
11536,1835,2043,1,04,213
20020,0218,2053,2,01,213
20481,0218,2452,2,01,213
18918,1530,2048,1,07,213
19578,0218,2052,1,01,213
13166,1002,2180,2,02,213
13649,1002,2181,2,02,213
17646,1717,2163,2,01,213
17980,1717,2164,2,01,213
0,0128,2148,3,04,213
446,2302,2128,1,02,213
106,2302,2148,1,08,213
1329,0706,2146,1,03,213
1039,0706,2149,1,01,213
2539,2508,2205,1,01,213
1739,0706,2313,1,01,213
3489,1291,2206,1,04,213
3069,2508,2249,2,01,213
21971,2508,2057,3,03,213
17374,1616,2162,2,01,213
17157,1616,2161,2,01,213
4549,1291,2387,2,02,213
3967,1291,2386,2,02,213
6209,1319,2264,2,02,213
5529,1319,2188,1,04,213
7248,1560,2037,1,05,213
6798,1319,2265,2,02,213
8448,1560,2039,1,09,213
7738,1560,2038,2,03,213
9503,1560,2372,2,01,213
9113,1560,2371,2,01,213
14603,1002,2374,2,02,213
14343,1002,2182,2,02,213
16907,2522,2049,2,01,213
16197,2215,2050,2,01,213
15893,2215,2051,2,01,213
15583,2617,2377,2,01,213
15343,2617,2376,2,01,213
14878,2617,2375,2,01,213
21609,2508,2056,2,01,213
13231,2801,6021,1,01,210
13531,2801,6020,1,01,210
14189,2801,6006,1,03,210
14551,2004,6075,1,01,210
11528,2504,6026,1,01,210
11810,2504,6025,1,01,210
12200,2504,6024,1,01,210
12699,2801,6023,1,01,210
14941,2004,6005,4,01,210
0,2072,6116,3,01,210
1627,1540,6118,1,01,210
885,1540,6117,2,01,210
2996,1540,6120,1,01,210
2619,1540,6119,2,01,210
3867,1540,6122,1,01,210
3297,1540,6121,1,01,210
5365,1540,6124,1,01,210
4675,1540,6123,1,01,210
6655,1540,6126,2,01,210
6261,1540,6125,1,01,210
8265,0105,6033,1,01,210
7705,1540,6140,2,01,210
8873,0105,6031,2,01,210
8531,0105,6032,2,01,210
9947,0105,6029,2,01,210
9552,0105,6030,2,01,210
11249,2504,6027,1,01,210
10848,2504,6028,2,01,210
0,1222,6059,3,19,210
11116,2002,R-13,6,99,210
13434,0156,6059,3,19,210
11586,2018,6026,1,08,210
11956,2018,6050,2,02,210
12594,1222,6057,1,04,210
12904,0156,6059,1,03,210
0,2072,6116,3,01,210
1627,1540,6118,1,01,210
885,1540,6117,2,01,210
2996,1540,6120,1,01,210
2619,1540,6119,2,01,210
3867,1540,6122,1,01,210
3297,1540,6121,1,01,210
5365,1540,6124,1,01,210
4675,1540,6123,1,01,210
6655,1540,6126,2,01,210
6261,1540,6125,1,01,210
8265,0105,6033,1,01,210
7705,1540,6140,2,01,210
8873,0105,6031,2,01,210
8531,0105,6032,2,01,210
9947,0105,6029,2,01,210
9552,0105,6030,2,01,210
11249,2504,6027,1,01,210
10848,2504,6028,2,01,210
0,0156,6059,7,03,210
3709,2516,6145,7,01,210
14418,1222,6057,1,04,210
14728,0156,6059,1,03,210
15258,0156,6059,3,19,210
12672,2504,6028,2,01,210
13073,2504,6027,1,01,210
13410,2018,6026,1,08,210
13780,2018,6050,2,02,210
0,2072,6116,3,01,210
1627,1540,6118,1,01,210
885,1540,6117,2,01,210
3539,1318,6127,1,01,210
2719,0711,6119,2,03,210
4820,1540,6120,1,01,210
4443,1540,6119,2,01,210
5691,1540,6122,1,01,210
5121,1540,6121,1,01,210
7189,1540,6124,1,01,210
6499,1540,6123,1,01,210
8479,1540,6126,2,01,210
8085,1540,6125,1,01,210
10089,0105,6033,1,01,210
9529,1540,6140,2,01,210
10697,0105,6031,2,01,210
10355,0105,6032,2,01,210
11771,0105,6029,2,01,210
11376,0105,6030,2,01,210
0,1222,6059,3,19,210
12248,1221,R-11,6,99,210
12210,1540,6117,2,02,210
13161,2072,6116,3,01,210
9716,1540,6121,1,02,210
10234,1540,6120,1,02,210
10554,1540,6119,2,02,210
11589,1540,6118,1,02,210
0,1222,6059,3,19,210
540,2018,6057,1,01,210
280,1222,6059,1,01,210
1537,2504,6026,1,02,210
1109,2018,6050,2,01,210
2154,2504,6028,2,02,210
1757,2504,6027,1,02,210
3474,0105,6030,2,02,210
2884,0105,6029,2,02,210
4545,0105,6032,2,02,210
4162,0105,6031,2,02,210
5185,1540,6140,2,02,210
4785,0105,6033,1,02,210
6268,1540,6126,2,02,210
5506,1540,6211,2,02,210
7540,1540,6124,1,02,210
6859,1540,6125,1,02,210
9275,1540,6122,1,02,210
8525,1540,6123,1,02,210
12321,0131,6139,3,01,210
9716,1540,6121,1,02,210
10226,2058,6120,1,04,210
10651,2058,6135,2,02,210
11126,2058,6146,2,02,210
0,1222,6059,3,19,210
540,2018,6057,1,01,210
280,1222,6059,1,01,210
1537,2504,6026,1,02,210
1109,2018,6050,2,01,210
2154,2504,6028,2,02,210
1757,2504,6027,1,02,210
3474,0105,6030,2,02,210
2884,0105,6029,2,02,210
4545,0105,6032,2,02,210
4162,0105,6031,2,02,210
5185,1540,6140,2,02,210
4785,0105,6033,1,02,210
6268,1540,6126,2,02,210
5506,1540,6211,2,02,210
7540,1540,6124,1,02,210
6859,1540,6125,1,02,210
9275,1540,6122,1,02,210
8525,1540,6123,1,02,210
0,2004,6005,7,01,210
4843,2004,6048,7,03,210
0,1221,R-11,6,00,210
12702,1222,6059,3,19,210
12577,1540,6119,2,02,210
13612,1540,6118,1,02,210
14233,1540,6117,2,02,210
15184,2072,6116,3,01,210
9716,1540,6121,1,02,210
10234,1540,6120,1,02,210
10584,0711,6119,2,03,210
11404,1318,6127,1,01,210
0,1222,6059,3,19,210
540,2018,6057,1,01,210
280,1222,6059,1,01,210
1537,2504,6026,1,02,210
1109,2018,6050,2,01,210
2154,2504,6028,2,02,210
1757,2504,6027,1,02,210
3474,0105,6030,2,02,210
2884,0105,6029,2,02,210
4545,0105,6032,2,02,210
4162,0105,6031,2,02,210
5185,1540,6140,2,02,210
4785,0105,6033,1,02,210
6268,1540,6126,2,02,210
5506,1540,6211,2,02,210
7540,1540,6124,1,02,210
6859,1540,6125,1,02,210
9275,1540,6122,1,02,210
8525,1540,6123,1,02,210
0,2002,R-13,6,00,210
11615,1222,6059,3,19,210
21188,1540,6118,1,02,210
21809,1540,6117,2,02,210
22760,2072,6116,3,01,210
0,1221,R-11,6,00,210
11356,2504,6027,1,02,210
11136,2504,6026,5,02,210
12483,0105,6029,2,02,210
11753,2504,6028,2,02,210
13761,0105,6031,2,02,210
13073,0105,6030,2,02,210
14384,0105,6033,1,02,210
14144,0105,6032,2,02,210
15105,1540,6211,2,02,210
14784,1540,6140,2,02,210
16458,1540,6125,1,02,210
15867,1540,6126,2,02,210
18124,1540,6123,1,02,210
17139,1540,6124,1,02,210
19315,1540,6121,1,02,210
18874,1540,6122,1,02,210
20153,1540,6119,2,02,210
19833,1540,6120,1,02,210
11195,2018,6050,2,02,210
11833,1222,6057,1,04,210
12143,0156,6059,1,03,210
12673,0156,6059,3,19,210
0,0131,6139,3,01,210
1775,2058,6135,2,01,210
1390,2058,6146,2,01,210
2536,1540,6121,1,01,210
2235,1540,6120,1,01,210
3914,1540,6123,1,01,210
3106,1540,6122,1,01,210
5500,1540,6125,1,01,210
4604,1540,6124,1,01,210
6944,1540,6140,2,01,210
5894,1540,6126,2,01,210
7770,0105,6032,2,01,210
7504,0105,6033,1,01,210
8791,0105,6030,2,01,210
8112,0105,6031,2,01,210
10087,2504,6028,2,01,210
9186,0105,6029,2,01,210
10825,2018,6026,1,08,210
10488,2504,6027,1,01,210
11586,2018,6026,1,08,210
11956,2018,6050,2,02,210
12594,1222,6057,1,04,210
12904,0156,6059,4,03,210
0,2072,6116,3,01,210
1627,1540,6118,1,01,210
885,1540,6117,2,01,210
2996,1540,6120,1,01,210
2619,1540,6119,2,01,210
3867,1540,6122,1,01,210
3297,1540,6121,1,01,210
5365,1540,6124,1,01,210
4675,1540,6123,1,01,210
6655,1540,6126,2,01,210
6261,1540,6125,1,01,210
8265,0105,6033,1,01,210
7705,1540,6140,2,01,210
8873,0105,6031,2,01,210
8531,0105,6032,2,01,210
9947,0105,6029,2,01,210
9552,0105,6030,2,01,210
11249,2504,6027,1,01,210
10848,2504,6028,2,01,210
10541,1538,1498,2,01,211
11078,1538,1499,2,01,211
11550,1538,1500,1,01,211
11807,0520,1570,2,02,211
8759,1538,1256,1,03,211
8989,1856,1250,1,04,211
9389,2106,1251,2,03,211
9659,2106,1469,1,05,211
12060,0520,1571,2,02,211
12713,1514,1016,1,01,211
0,1454,1944,3,01,211
770,0288,1942,2,02,211
441,0288,1943,2,02,211
2181,1965,1366,2,03,211
1661,0822,1424,2,01,211
3021,1965,1422,2,01,211
2611,1965,1317,1,02,211
3941,0547,1405,1,02,211
3471,2093,1421,2,01,211
5119,1963,1253,1,04,211
4314,2108,1406,1,01,211
5839,1963,1316,1,02,211
5509,1963,1315,1,02,211
6819,1964,1278,2,01,211
6269,1517,1118,1,01,211
7589,1964,1497,2,01,211
7229,1964,1313,1,01,211
8249,2108,1219,1,02,211
7929,1964,1312,2,01,211
13683,1514,1014,2,01,211
13180,1514,1015,2,01,211
14384,1514,1013,3,14,211
10102,1514,1016,1,01,211
10569,1514,1015,2,01,211
11072,1514,1014,2,01,211
11773,1514,1013,3,14,211
8467,1538,1499,2,01,211
8939,1538,1500,1,01,211
9196,0520,1570,2,02,211
9449,0520,1571,2,02,211
0,1965,1317,5,02,211
860,2093,1421,2,01,211
410,1965,1422,2,01,211
1703,2108,1406,1,01,211
1330,0547,1405,1,02,211
2898,1963,1315,1,02,211
2508,1963,1253,1,04,211
3658,1517,1118,1,01,211
3228,1963,1316,1,02,211
4618,1964,1313,1,01,211
4208,1964,1278,2,01,211
5318,1964,1312,2,01,211
4978,1964,1497,2,01,211
6148,1538,1256,1,03,211
5638,2108,1219,1,02,211
6778,2106,1251,2,03,211
6378,1856,1250,1,04,211
7930,1538,1498,2,01,211
7048,2106,1469,1,05,211
0,1965,1317,7,02,211
4530,2109,1277,7,09,211
0,1965,1317,7,02,211
3113,1963,1316,7,01,211
0,1965,1317,7,02,211
3228,1963,1316,7,02,211
0,1963,1316,5,01,211
760,2108,1253,1,02,211
390,1963,1315,1,01,211
1762,0547,1405,1,01,211
1556,0547,1406,1,03,211
